word freq1 freq2 dist ppval
vomit 19 33 0.019973278045654297 0.509
crew 50 84 0.023380041122436523 0.0081
erect 4 105 0.035153746604919434 0.562
millionaires 8 16 0.029308795928955078 0.53
toxic 15 399 0.045252442359924316 0.0055
seeded 5 167 0.03679001331329346 0.329
village 16 196 0.02925950288772583 0.00527
dank 1 103 0.15658944845199585 0.3173076923076923
accomplish 34 59 0.010449230670928955 0.529
unclench 1 72 0.1295720338821411 0.273972602739726
voice 200 365 0.0037019848823547363 0.059
stubbornness 8 116 0.017901897430419922 0.164
friendship 20 151 0.07900303602218628 1e-05
egyptian 15 465 0.015538811683654785 0.202
conservatives 2 66 0.06847089529037476 0.471
moaned 6 46 0.037577271461486816 0.38
f5 1 658 0.12526065111160278 0.8770864946889226
labour 12 331 0.07145768404006958 0.0002
clench 3 131 0.19388240575790405 0.0119
highlighter 2 28 0.12912774085998535 0.01839080459770115
pills 14 92 0.024243056774139404 0.0174
astonishing 22 42 0.01330411434173584 0.7
monitoring 19 319 0.0549243688583374 1e-05
backbone 25 38 0.025914788246154785 0.07
soak 26 42 0.010924875736236572 0.114
implied 41 78 0.009346485137939453 0.498
arrangement 9 17 0.04829561710357666 0.175
slave 3 27 0.16282498836517334 0.023645320197044337
snake 9 293 0.04372602701187134 0.0191
revisionist 5 51 0.028559446334838867 0.249
shovels 1 28 0.19119226932525635 0.1724137931034483
participate 46 80 0.011241137981414795 0.0259
thunder 13 105 0.14746713638305664 1e-05
mouthpiece 5 65 0.029889225959777832 0.177
bottling 2 103 0.05358421802520752 0.721
leans 8 127 0.11076819896697998 3e-05
emotion 80 128 0.005515694618225098 0.054
preventing 43 64 0.011075735092163086 0.0436
sentence 188 338 0.001712203025817871 0.641
neck 135 238 0.007135629653930664 0.0238
desert 5 35 0.08179014921188354 0.375
independence 9 56 0.041450321674346924 0.179
stubborn 61 403 0.005575776100158691 0.0056
fax 10 74 0.025745928287506104 0.055
parking 50 380 0.03452646732330322 1e-05
relieved 51 91 0.005175471305847168 0.811
graduate 22 45 0.028598368167877197 0.093
coal 10 329 0.08293455839157104 1e-05
behaviour 119 212 0.0052408576011657715 0.00236
alternatives 37 601 0.022628962993621826 1e-05
parked 25 507 0.13963180780410767 1e-05
lottery 32 55 0.012370049953460693 0.237
hype 198 1188 0.041125476360321045 1e-05
hugs 19 160 0.03709280490875244 0.00016
semifinals 1 23 0.13193881511688232 0.5416666666666666
patient 175 283 0.002174198627471924 0.175
shovel 5 59 0.10441827774047852 0.0191
roast 1 41 0.24991875886917114 0.30952380952380953
leaks 25 187 0.018598496913909912 0.0024
croatian 3 72 0.08982396125793457 0.133
strings 53 88 0.010931789875030518 0.172
revisionism 2 75 0.06182903051376343 0.145
entourage 3 115 0.1373910903930664 0.0144
listened 71 111 0.004653334617614746 0.809
congestion 8 114 0.023933827877044678 0.309
scorpion 3 51 0.06663095951080322 0.456
programme 25 48 0.01494377851486206 0.544
snakes 1 54 0.16483402252197266 0.3090909090909091
wholesome 1 47 0.17304712533950806 0.125
clenched 5 74 0.06039273738861084 0.203
merchant 6 60 0.0511854887008667 0.208
darkness 6 69 0.22192776203155518 9e-05
talents 229 367 0.004852175712585449 1e-05
doubter 5 30 0.06776201725006104 0.0231
explaining 85 147 0.006720125675201416 0.031
tapping 62 653 0.026230990886688232 1e-05
advocate 68 119 0.0050618648529052734 0.707
tourists 13 119 0.014714717864990234 0.3
naked 28 46 0.031165778636932373 0.00082
travel 178 301 0.003224968910217285 0.087
dilly 3 30 0.11981117725372314 0.056
cooking 5 59 0.05078953504562378 0.186
lean 101 1105 0.05955761671066284 1e-05
election 3 106 0.15365290641784668 0.0189
schedules 16 26 0.03429943323135376 0.071
narrative 31 391 0.008805572986602783 0.075
bait 17 115 0.060298144817352295 0.00046
africans 6 76 0.04129290580749512 0.277
determine 76 107 0.006714224815368652 0.15
spicy 3 67 0.07763969898223877 0.196
vans 4 113 0.11074912548065186 0.0061
believers 3 95 0.1523534059524536 0.00301
select 60 101 0.020146071910858154 0.0104
pharaoh 2 47 0.12490332126617432 0.097
verify 21 35 0.015521883964538574 0.427
madman 11 114 0.05305027961730957 0.0064
passengers 4 42 0.07890313863754272 0.161
