word freq1 freq2 shift dist pval fdr
vomit 19 33 0.0 0.019973278045654297 0.509 0.5808588235294118
crew 50 84 0.091 0.023380041122436523 0.0081 0.03021923076923077
erect 4 105 0.0 0.035153746604919434 0.562 0.6057111111111112
millionaires 8 16 0.0 0.029308795928955078 0.53 0.590919540229885
toxic 15 399 0.857 0.045252442359924316 0.0055 0.023617391304347826
seeded 5 167 0.0 0.03679001331329346 0.329 0.40914102564102567
village 16 196 0.25 0.02925950288772583 0.00527 0.023617391304347826
dank 1 103 0.3 0.15658944845199585 0.3173076923076923 0.39972527472527475
accomplish 34 59 0.0 0.010449230670928955 0.529 0.590919540229885
unclench 1 72 0.091 0.1295720338821411 0.273972602739726 0.37318055555555557
voice 200 365 0.0 0.0037019848823547363 0.059 0.1300681818181818
stubbornness 8 116 0.0 0.017901897430419922 0.164 0.27560317460317457
friendship 20 151 0.5 0.07900303602218628 1e-05 8.818181818181818e-05
egyptian 15 465 0.444 0.015538811683654785 0.202 0.2938955223880597
conservatives 2 66 0.0 0.06847089529037476 0.471 0.5504457831325301
moaned 6 46 0.0 0.037577271461486816 0.38 0.46075000000000005
f5 1 658 0.556 0.12526065111160278 0.8770864946889226 0.8770864946889226
labour 12 331 0.25 0.07145768404006958 0.0002 0.0012933333333333334
clench 3 131 0.375 0.19388240575790405 0.0119 0.041225000000000005
highlighter 2 28 0.667 0.12912774085998535 0.01839080459770115 0.05449117647058824
pills 14 92 0.3 0.024243056774139404 0.0174 0.05449117647058824
astonishing 22 42 0.0 0.01330411434173584 0.7 0.7374086021505376
monitoring 19 319 0.6 0.0549243688583374 1e-05 8.818181818181818e-05
backbone 25 38 0.1 0.025914788246154785 0.07 0.14971739130434783
soak 26 42 0.0 0.010924875736236572 0.114 0.2168235294117647
implied 41 78 0.0 0.009346485137939453 0.498 0.5750714285714286
arrangement 9 17 0.143 0.04829561710357666 0.175 0.27560317460317457
slave 3 27 0.0 0.16282498836517334 0.023645320197044337 0.0623945945945946
snake 9 293 0.75 0.04372602701187134 0.0191 0.05449117647058824
revisionist 5 51 0.0 0.028559446334838867 0.249 0.34504285714285715
shovels 1 28 0.6 0.19119226932525635 0.1724137931034483 0.27560317460317457
participate 46 80 0.0 0.011241137981414795 0.0259 0.06611315789473685
thunder 13 105 0.875 0.14746713638305664 1e-05 8.818181818181818e-05
mouthpiece 5 65 0.0 0.029889225959777832 0.177 0.27560317460317457
bottling 2 103 0.286 0.05358421802520752 0.721 0.7440106382978723
leans 8 127 0.9 0.11076819896697998 3e-05 0.00024249999999999999
emotion 80 128 0.0 0.005515694618225098 0.054 0.12632558139534886
preventing 43 64 0.0 0.011075735092163086 0.0436 0.10573
sentence 188 338 0.0 0.001712203025817871 0.641 0.6832637362637363
neck 135 238 0.3 0.007135629653930664 0.0238 0.0623945945945946
desert 5 35 0.0 0.08179014921188354 0.375 0.46044303797468356
independence 9 56 0.0 0.041450321674346924 0.179 0.27560317460317457
stubborn 61 403 0.0 0.005575776100158691 0.0056 0.023617391304347826
fax 10 74 0.429 0.025745928287506104 0.055 0.12632558139534886
parking 50 380 0.222 0.03452646732330322 1e-05 8.818181818181818e-05
relieved 51 91 0.0 0.005175471305847168 0.811 0.8194479166666667
graduate 22 45 0.222 0.028598368167877197 0.093 0.18410204081632653
coal 10 329 0.875 0.08293455839157104 1e-05 8.818181818181818e-05
behaviour 119 212 0.0 0.0052408576011657715 0.00236 0.012252631578947367
alternatives 37 601 0.3 0.022628962993621826 1e-05 8.818181818181818e-05
parked 25 507 0.0 0.13963180780410767 1e-05 8.818181818181818e-05
lottery 32 55 0.125 0.012370049953460693 0.237 0.3331739130434782
hype 198 1188 0.273 0.041125476360321045 1e-05 8.818181818181818e-05
hugs 19 160 0.583 0.03709280490875244 0.00016 0.0011085714285714288
semifinals 1 23 0.0 0.13193881511688232 0.5416666666666666 0.5928988764044945
patient 175 283 0.0 0.002174198627471924 0.175 0.27560317460317457
shovel 5 59 0.818 0.10441827774047852 0.0191 0.05449117647058824
roast 1 41 0.125 0.24991875886917114 0.30952380952380953 0.3950501253132832
leaks 25 187 0.111 0.018598496913909912 0.0024 0.012252631578947367
croatian 3 72 0.0 0.08982396125793457 0.133 0.2434150943396227
strings 53 88 0.444 0.010931789875030518 0.172 0.27560317460317457
revisionism 2 75 0.0 0.06182903051376343 0.145 0.26046296296296295
entourage 3 115 0.417 0.1373910903930664 0.0144 0.04816551724137931
listened 71 111 0.0 0.004653334617614746 0.809 0.8194479166666667
congestion 8 114 0.0 0.023933827877044678 0.309 0.3950501253132832
scorpion 3 51 0.0 0.06663095951080322 0.456 0.5394146341463415
programme 25 48 0.2 0.01494377851486206 0.544 0.5928988764044945
snakes 1 54 0.8 0.16483402252197266 0.3090909090909091 0.3950501253132832
wholesome 1 47 0.556 0.17304712533950806 0.125 0.23317307692307693
clenched 5 74 0.125 0.06039273738861084 0.203 0.2938955223880597
merchant 6 60 0.111 0.0511854887008667 0.208 0.2967058823529412
darkness 6 69 0.7 0.22192776203155518 9e-05 0.0006715384615384616
talents 229 367 0.0 0.004852175712585449 1e-05 8.818181818181818e-05
doubter 5 30 0.375 0.06776201725006104 0.0231 0.0623945945945946
explaining 85 147 0.0 0.006720125675201416 0.031 0.0771025641025641
tapping 62 653 0.444 0.026230990886688232 1e-05 8.818181818181818e-05
advocate 68 119 0.1 0.0050618648529052734 0.707 0.7374086021505376
tourists 13 119 0.0 0.014714717864990234 0.3 0.3950501253132832
naked 28 46 0.0 0.031165778636932373 0.00082 0.004678823529411765
travel 178 301 0.0 0.003224968910217285 0.087 0.17581249999999998
dilly 3 30 0.556 0.11981117725372314 0.056 0.12632558139534886
cooking 5 59 0.125 0.05078953504562378 0.186 0.28190625
lean 101 1105 0.75 0.05955761671066284 1e-05 8.818181818181818e-05
election 3 106 0.111 0.15365290641784668 0.0189 0.05449117647058824
schedules 16 26 0.0 0.03429943323135376 0.071 0.14971739130434783
narrative 31 391 0.0 0.008805572986602783 0.075 0.15478723404255318
bait 17 115 0.167 0.060298144817352295 0.00046 0.00278875
africans 6 76 0.167 0.04129290580749512 0.277 0.37318055555555557
determine 76 107 0.0 0.006714224815368652 0.15 0.26454545454545453
spicy 3 67 0.714 0.07763969898223877 0.196 0.2924923076923077
vans 4 113 0.909 0.11074912548065186 0.0061 0.024654166666666668
believers 3 95 0.444 0.1523534059524536 0.00301 0.0145985
select 60 101 0.429 0.020146071910858154 0.0104 0.03736296296296296
pharaoh 2 47 1.0 0.12490332126617432 0.097 0.18818000000000001
verify 21 35 0.222 0.015521883964538574 0.427 0.5113456790123456
madman 11 114 0.571 0.05305027961730957 0.0064 0.024832000000000003
passengers 4 42 0.273 0.07890313863754272 0.161 0.27560317460317457
processed 97 words

